2025-06-07 16:50:13,874 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:13,874 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:50:13,874 | DEBUG | python_multipart.multipart | Calling on_part_data with data[15773:31225]
2025-06-07 16:50:13,875 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:50:13,876 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:50:13,876 | DEBUG | python_multipart.multipart | Calling on_header_field with data[44:63]
2025-06-07 16:50:13,876 | DEBUG | python_multipart.multipart | Calling on_header_value with data[65:111]
2025-06-07 16:50:13,877 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:13,877 | DEBUG | python_multipart.multipart | Calling on_header_field with data[113:125]
2025-06-07 16:50:13,878 | DEBUG | python_multipart.multipart | Calling on_header_value with data[127:137]
2025-06-07 16:50:13,878 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:13,879 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:50:13,879 | DEBUG | python_multipart.multipart | Calling on_part_data with data[141:15765]
2025-06-07 16:50:13,880 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:50:13,880 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:50:13,881 | DEBUG | python_multipart.multipart | Calling on_header_field with data[15809:15828]
2025-06-07 16:50:13,881 | DEBUG | python_multipart.multipart | Calling on_header_value with data[15830:15876]
2025-06-07 16:50:13,882 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:13,882 | DEBUG | python_multipart.multipart | Calling on_header_field with data[15878:15890]
2025-06-07 16:50:13,883 | DEBUG | python_multipart.multipart | Calling on_header_value with data[15892:15902]
2025-06-07 16:50:13,883 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:13,883 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:50:13,884 | DEBUG | python_multipart.multipart | Calling on_part_data with data[15906:31429]
2025-06-07 16:50:13,884 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:50:13,885 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:50:13,885 | DEBUG | python_multipart.multipart | Calling on_header_field with data[31473:31492]
2025-06-07 16:50:13,885 | DEBUG | python_multipart.multipart | Calling on_header_value with data[31494:31540]
2025-06-07 16:50:13,886 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:13,886 | DEBUG | python_multipart.multipart | Calling on_header_field with data[31542:31554]
2025-06-07 16:50:13,886 | DEBUG | python_multipart.multipart | Calling on_header_value with data[31556:31566]
2025-06-07 16:50:13,887 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:13,887 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:50:13,888 | DEBUG | python_multipart.multipart | Calling on_part_data with data[31570:46970]
2025-06-07 16:50:13,888 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:50:13,888 | DEBUG | python_multipart.multipart | Calling on_end with no data
2025-06-07 16:50:13,889 | INFO | app.face_logic | 📥 Processing 5 file(s)
2025-06-07 16:50:13,889 | INFO | app.face_logic | 🔎 Processing: face1.jpg
2025-06-07 16:50:14,012 | INFO | app.face_logic | ✅ Face found in face1.jpg
2025-06-07 16:50:14,013 | INFO | app.face_logic | 🔎 Processing: face2.jpg
2025-06-07 16:50:14,130 | INFO | app.face_logic | ✅ Face found in face2.jpg
2025-06-07 16:50:14,131 | INFO | app.face_logic | 🔎 Processing: face3.jpg
2025-06-07 16:50:14,229 | INFO | app.face_logic | ✅ Face found in face3.jpg
2025-06-07 16:50:14,230 | INFO | app.face_logic | 🔎 Processing: face4.jpg
2025-06-07 16:50:14,331 | INFO | app.face_logic | ✅ Face found in face4.jpg
2025-06-07 16:50:14,331 | INFO | app.face_logic | 🔎 Processing: face5.jpg
2025-06-07 16:50:14,432 | INFO | app.face_logic | ✅ Face found in face5.jpg
2025-06-07 16:50:14,433 | DEBUG | httpcore.connection | close.started
2025-06-07 16:50:14,434 | DEBUG | httpcore.connection | close.complete
2025-06-07 16:50:14,434 | DEBUG | httpcore.connection | connect_tcp.started host='qdrant' port=6333 local_address=None timeout=5.0 socket_options=None
2025-06-07 16:50:14,435 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f8271cfe830>
2025-06-07 16:50:14,436 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2025-06-07 16:50:14,437 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-06-07 16:50:14,437 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2025-06-07 16:50:14,438 | DEBUG | httpcore.http11 | send_request_body.complete
2025-06-07 16:50:14,438 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2025-06-07 16:50:14,442 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'transfer-encoding', b'chunked'), (b'content-type', b'application/json'), (b'content-encoding', b'gzip'), (b'vary', b'accept-encoding, Origin, Access-Control-Request-Method, Access-Control-Request-Headers'), (b'date', b'Sat, 07 Jun 2025 16:50:14 GMT')])
2025-06-07 16:50:14,443 | INFO | httpx | HTTP Request: GET http://qdrant:6333/collections/faces/exists "HTTP/1.1 200 OK"
2025-06-07 16:50:14,444 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2025-06-07 16:50:14,445 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-06-07 16:50:14,446 | DEBUG | httpcore.http11 | response_closed.started
2025-06-07 16:50:14,446 | DEBUG | httpcore.http11 | response_closed.complete
2025-06-07 16:50:14,448 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-06-07 16:50:14,449 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-06-07 16:50:14,449 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-06-07 16:50:14,450 | DEBUG | httpcore.http11 | send_request_body.complete
2025-06-07 16:50:14,451 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-06-07 16:50:14,460 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'transfer-encoding', b'chunked'), (b'content-type', b'application/json'), (b'content-encoding', b'gzip'), (b'vary', b'accept-encoding, Origin, Access-Control-Request-Method, Access-Control-Request-Headers'), (b'date', b'Sat, 07 Jun 2025 16:50:14 GMT')])
2025-06-07 16:50:14,460 | INFO | httpx | HTTP Request: POST http://qdrant:6333/collections/faces/points/search "HTTP/1.1 200 OK"
2025-06-07 16:50:14,461 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-06-07 16:50:14,462 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-06-07 16:50:14,463 | DEBUG | httpcore.http11 | response_closed.started
2025-06-07 16:50:14,463 | DEBUG | httpcore.http11 | response_closed.complete
2025-06-07 16:50:14,464 | INFO | app.face_logic | 🔍 Top score: 0.95468354
2025-06-07 16:50:14,465 | INFO | app.face_logic | ✅ Face recognized as ID 100000000
2025-06-07 16:55:17,524 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:55:17,525 | DEBUG | python_multipart.multipart | Calling on_header_field with data[43:62]
2025-06-07 16:55:17,525 | DEBUG | python_multipart.multipart | Calling on_header_value with data[64:110]
2025-06-07 16:55:17,525 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:55:17,526 | DEBUG | python_multipart.multipart | Calling on_header_field with data[112:124]
